"vit";"haut";"dx"
1.86;0;0.999016649026093
1.88;0;0.998251375373053
1.9;0;0.997318910952708
1.92;0;0.996250194660915
1.94;0;0.99507609978063
1.96;0;0.993827396793636
1.98;0;0.992534725706818
2;0;0.991227946260275
50;0;0
0;0.02;0.00730334721526968
0.02;0.02;0.0083801284802084
0.04;0.02;0.00960220965355856
0.06;0.02;0.010986046946049
0.08;0.02;0.0125492987328592
0.1;0.02;0.0143107760926253
0.12;0.02;0.0162903576416737
0.14;0.02;0.0185088627762016
0.16;0.02;0.0209878773603865
0.18;0.02;0.0237495260300632
0.2;0.02;0.0268161856678176
0.22;0.02;0.030210135294719
0.24;0.02;0.0339531386629161
0.26;0.02;0.0380659572630732
0.28;0.02;0.0425678288205317
0.3;0.02;0.0474780889483675
0.32;0.02;0.0528180762591806
0.34;0.02;0.0586088001728853
0.36;0.02;0.0648705031732365
0.38;0.02;0.0716224494512763
0.4;0.02;0.0788827099996692
0.42;0.02;0.0866679466515443
0.44;0.02;0.0949931976946813
0.46;0.02;0.103871667788984
0.48;0.02;0.113314524968835
0.5;0.02;0.123330707519812
0.52;0.02;0.133926743479844
0.54;0.02;0.145106585427816
0.56;0.02;0.156871463088471
0.58;0.02;0.169219756102933
0.6;0.02;0.182146889091817
0.62;0.02;0.195645250876468
0.64;0.02;0.209704139427682
0.66;0.02;0.224309733785634
0.68;0.02;0.239445093845533
0.7;0.02;0.255090188537031
0.72;0.02;0.271221952548305
0.74;0.02;0.287814371364997
0.76;0.02;0.304838594016591
0.78;0.02;0.322263072555121
0.8;0.02;0.340053726939822
0.82;0.02;0.358174133672484
0.84;0.02;0.376585736227332
0.86;0.02;0.39524807505093
0.88;0.02;0.414119034676284
0.9;0.02;0.433155105303688
0.92;0.02;0.452311656052048
0.94;0.02;0.471543216979137
0.96;0.02;0.490803766908682
0.98;0.02;0.51004702408589
1;0.02;0.529226736709813
1.02;0.02;0.548296970459148
1.04;0.02;0.567212390235049
1.06;0.02;0.585928533487088
1.08;0.02;0.604402072663173
1.1;0.02;0.622591064526596
1.12;0.02;0.640455184309379
1.14;0.02;0.657955942915979
1.16;0.02;0.675056885650413
1.18;0.02;0.691723771208492
1.2;0.02;0.70792472995028
1.22;0.02;0.723630400741965
1.24;0.02;0.738814045926339
1.26;0.02;0.753451644244204
1.28;0.02;0.767521961780276
1.3;0.02;0.781006601245114
1.32;0.02;0.793890030125063
1.34;0.02;0.806159588434473
1.36;0.02;0.817805476985446
1.38;0.02;0.828820727249905
1.4;0.02;0.839201154025489
1.42;0.02;0.848945292230354
1.44;0.02;0.858054319242672
1.46;0.02;0.866531964268821
1.48;0.02;0.87438440626994
1.5;0.02;0.8816201620024
1.52;0.02;0.888249965732897
1.54;0.02;0.894286642176892
1.56;0.02;0.899744974179722
1.58;0.02;0.904641566616526
1.6;0.02;0.908994707930156
1.62;0.02;0.912824230658841
1.64;0.02;0.916151372228576
1.66;0.02;0.918998637200931
1.68;0.02;0.921389662077665
1.7;0.02;0.923349083669766
1.72;0.02;0.924902411943198
1.74;0.02;0.926075908157308
1.76;0.02;0.926896469016101
1.78;0.02;0.927391517459377
1.8;0.02;0.927588900629935
1.82;0.02;0.927516795466809
1.84;0.02;0.927203622292997
1.86;0.02;0.926677966690277
1.88;0.02;0.925968509884192
1.9;0.02;0.925103967799148
1.92;0.02;0.924113038888021
1.94;0.02;0.923024360791726
1.96;0.02;0.921866475843496
1.98;0.02;0.92066780539878
2;0.02;0.919456047092458
50;0.02;0
0;0.04;0.00677412172596839
0.02;0.04;0.00777287928379292
0.04;0.04;0.00890640885351317
0.06;0.04;0.0101899743767864
0.08;0.04;0.0116399548763468
0.1;0.04;0.0132737985814995
0.12;0.04;0.0151099439359065
0.14;0.04;0.0171677020268755
0.16;0.04;0.0194670949060182
0.18;0.04;0.0220286443932421
0.2;0.04;0.0248731063142485
0.22;0.04;0.0280211457611111
0.24;0.04;0.0314929499292135
0.26;0.04;0.0353077764099705
0.28;0.04;0.0394834694716506
0.3;0.04;0.0440379642091426
0.32;0.04;0.0489910536181002
0.34;0.04;0.0543622253885183
0.36;0.04;0.0601702558775592
0.38;0.04;0.0664330140652767
0.4;0.04;0.0731672622178543
0.42;0.04;0.0803884555712943
0.44;0.04;0.0881105434757847
0.46;0.04;0.0963457745310238
0.48;0.04;0.105104508292601
0.5;0.04;0.114395036136809
0.52;0.04;0.124223413834757
0.54;0.04;0.13459330830588
0.56;0.04;0.145505860896533
0.58;0.04;0.156959569362817
0.6;0.04;0.168950190530584
0.62;0.04;0.181470665363044
0.64;0.04;0.194511067891715
0.66;0.04;0.208058579164395
0.68;0.04;0.222097487039972
0.7;0.04;0.23660921231988
0.72;0.04;0.251572361356308
0.74;0.04;0.266962804924076
0.76;0.04;0.282753782792808
0.78;0.04;0.298916033095054
0.8;0.04;0.315417945260126
0.82;0.04;0.332225734978422
0.84;0.04;0.349303639381779
0.86;0.04;0.366614130376673
0.88;0.04;0.384118143852278
0.9;0.04;0.401775322307909
0.92;0.04;0.419544268306094
0.94;0.04;0.437382806059987
0.96;0.04;0.455248248407666
0.98;0.04;0.473097666410656
1;0.04;0.490888158838943
1.02;0.04;0.508577118867896
1.04;0.04;0.526122495411876
1.06;0.04;0.5434830466514
1.08;0.04;0.56061858347277
1.1;0.04;0.577490200726849
1.12;0.04;0.594060494423196
1.14;0.04;0.610293763202939
1.16;0.04;0.626156192674025
