"haut";"vit";"dx"
0.9;0.04;0.594768221578225
0.92;0.04;0.56988789661807
0.94;0.04;0.54422419280464
0.96;0.04;0.518045407168826
0.98;0.04;0.491602661253195
1;0.04;0.465127349368309
1.02;0.04;0.438829305236357
1.04;0.04;0.412895645109476
1.06;0.04;0.387490230149777
1.08;0.04;0.362753679876425
1.1;0.04;0.338803861583507
1.12;0.04;0.315736777427192
1.14;0.04;0.293627770888066
1.16;0.04;0.272532976992485
1.18;0.04;0.252490945463415
1.2;0.04;0.233524372315098
1.22;0.04;0.215641882790529
1.24;0.04;0.19883981650311
1.26;0.04;0.183103973784398
1.28;0.04;0.168411290229326
1.3;0.04;0.154731414009786
1.32;0.04;0.142028167506211
1.34;0.04;0.13026088105611
1.36;0.04;0.119385592064714
1.38;0.04;0.109356107338497
1.4;0.04;0.100124930297612
1.42;0.04;0.09164405773727
1.44;0.04;0.0838656531009964
1.46;0.04;0.0767424029865805
1.48;0.04;0.0702239916471413
1.5;0.04;0.0642592466608076
50;0.04;0
0;0.06;0
0.02;0.06;0.0144602067376433
0.04;0.06;0.0289204134752866
0.06;0.06;0.0433806202129298
0.08;0.06;0.0578408269505731
0.1;0.06;0.0723010336882164
0.12;0.06;0.0867612404258597
0.14;0.06;0.101221447163503
0.16;0.06;0.115681653901146
0.18;0.06;0.130141860638789
0.2;0.06;0.144602067376433
0.22;0.06;0.160088091752993
0.24;0.06;0.176869907438517
0.26;0.06;0.19497112769484
0.28;0.06;0.214397211529178
0.3;0.06;0.235131857617939
0.32;0.06;0.257133327625405
0.34;0.06;0.280330826703815
0.36;0.06;0.304621096624043
0.38;0.06;0.329865402895951
0.4;0.06;0.355887119243917
0.42;0.06;0.382470128449789
0.44;0.06;0.409358265219428
0.46;0.06;0.436256021712522
0.48;0.06;0.462830717249591
0.5;0.06;0.488716298504454
0.52;0.06;0.513518884008202
0.54;0.06;0.536824096912147
0.56;0.06;0.558209928875313
0.58;0.06;0.577344186454813
0.6;0.06;0.594009191839142
0.62;0.06;0.608030059033884
0.64;0.06;0.619273988219705
0.66;0.06;0.627652002573342
0.68;0.06;0.633119483930621
0.7;0.06;0.635675548721313
0.72;0.06;0.635361345929215
0.74;0.06;0.632257392791902
0.76;0.06;0.626480090451317
0.78;0.06;0.618177580198122
0.8;0.06;0.607525111206022
0.82;0.06;0.594720093052149
0.84;0.06;0.579977001562593
0.86;0.06;0.563522295590891
0.88;0.06;0.545589486410629
0.9;0.06;0.526414481765827
0.92;0.06;0.506231304578107
0.94;0.06;0.485268263109181
0.96;0.06;0.463744626158729
0.98;0.06;0.441867834620251
1;0.06;0.419831260216907
1.02;0.06;0.397812504090396
1.04;0.06;0.375972212517163
1.06;0.06;0.354453374589183
1.08;0.06;0.333381057266058
1.1;0.06;0.312862526686022
1.12;0.06;0.292987700807817
1.14;0.06;0.27382987705381
1.16;0.06;0.255446679293443
1.18;0.06;0.237881170874109
1.2;0.06;0.22116308409718
1.22;0.06;0.205310121187171
1.24;0.06;0.190329287075813
1.26;0.06;0.176218219921625
1.28;0.06;0.162966490954018
1.3;0.06;0.150556850759794
1.32;0.06;0.138966404355756
1.34;0.06;0.12816770219433
1.36;0.06;0.118129738549627
1.38;0.06;0.10881885248431
1.4;0.06;0.100199529787234
1.42;0.06;0.0922351069063732
1.44;0.06;0.0848883800075597
1.46;0.06;0.0781219275806858
1.48;0.06;0.0718946483726631
1.5;0.06;0.0661637599672692
50;0.06;0
0;0.08;0
0.02;0.08;0.0127981725318407
0.04;0.08;0.0255963450636814
0.06;0.08;0.038394517595522
0.08;0.08;0.0511926901273627
0.1;0.08;0.0639908626592034
0.12;0.08;0.0767890351910441
0.14;0.08;0.0895872077228848
0.16;0.08;0.102385380254725
0.18;0.08;0.115183552786566
0.2;0.08;0.127981725318407
0.22;0.08;0.141265291126918
0.24;0.08;0.15562341666218
0.26;0.08;0.171073046175183
0.28;0.08;0.187616311657748
0.3;0.08;0.205237709267608
0.32;0.08;0.223901230209232
0.34;0.08;0.243547543834741
0.36;0.08;0.26409135112634
0.38;0.08;0.285419045780488
0.4;0.08;0.307386836293109
0.42;0.08;0.329819493990222
0.44;0.08;0.352509896973939
0.46;0.08;0.375219536560864
0.48;0.08;0.397680139219847
0.5;0.08;0.419596531833324
0.52;0.08;0.440650840403175
0.54;0.08;0.460508061926437
0.56;0.08;0.478826081804771
0.58;0.08;0.495334814947566
0.6;0.08;0.509856001472183
0.62;0.08;0.522244390744458
0.64;0.08;0.532387117951762
0.66;0.08;0.540205172609712
0.68;0.08;0.545653975272091
0.7;0.08;0.548723087551119
0.72;0.08;0.549435109683169
0.74;0.08;0.547843844747218
0.76;0.08;0.544031828461345
0.78;0.08;0.538107337783705
0.8;0.08;0.530201000188029
0.82;0.08;0.520462128629476
0.84;0.08;0.509054905278029
0.86;0.08;0.496154530691486
0.88;0.08;0.481943444991223
0.9;0.08;0.46660771463999
0.92;0.08;0.450333663480827
0.94;0.08;0.433304810639071
