"vit";"haut";"dx"
1.66;0;0.170170343096625
1.68;0;0.161085083872363
1.7;0;0.152418204217354
1.72;0;0.144158637003806
1.74;0;0.136294729709142
1.76;0;0.128814360089541
1.78;0;0.121705043181004
1.8;0;0.114954029700157
1.82;0;0.108548395992854
1.84;0;0.102475125743359
1.86;0;0.0967211837111602
1.88;0;0.0912735818068859
1.9;0;0.0861194378541914
1.92;0;0.0812460274114898
1.94;0;0.0766408290469117
1.96;0;0.0722915634725515
1.98;0;0.0681862269507412
2;0;0.0643130815806249
4;0;0.0321565407903125
50;0;0
0;0.02;0.225566040072718
0.02;0.02;0.241213914058102
0.04;0.02;0.25763618342295
0.06;0.02;0.274821691842329
0.08;0.02;0.292751144448695
0.1;0.02;0.31139628350937
0.12;0.02;0.330719093803081
0.14;0.02;0.350671058631491
0.16;0.02;0.371192489597054
0.18;0.02;0.392211955177911
0.2;0.02;0.413645834614236
0.22;0.02;0.435398024561474
0.24;0.02;0.457359826234732
0.26;0.02;0.479410040237351
0.28;0.02;0.501415294816593
0.3;0.02;0.523236420852447
0.32;0.02;0.544763209987477
0.34;0.02;0.565898681841644
0.36;0.02;0.586546470324922
0.38;0.02;0.606611617680736
0.4;0.02;0.626001392469848
0.42;0.02;0.644626085901112
0.44;0.02;0.662399776243941
0.46;0.02;0.679241051657379
0.48;0.02;0.695073682531107
0.5;0.02;0.709827235335329
0.52;0.02;0.723437620997807
0.54;0.02;0.735847571943481
0.56;0.02;0.747007043120828
0.58;0.02;0.756873533572881
0.6;0.02;0.765412326365258
0.62;0.02;0.772596645932619
0.64;0.02;0.778407733125932
0.66;0.02;0.782834839412971
0.68;0.02;0.785875142784032
0.7;0.02;0.787533588927025
0.72;0.02;0.787822662144888
0.74;0.02;0.786762091283686
0.76;0.02;0.784378496611735
0.78;0.02;0.78070498413355
0.8;0.02;0.77578069423498
0.82;0.02;0.76965031183704
0.84;0.02;0.762363545389112
0.86;0.02;0.753974582062148
0.88;0.02;0.744541526417174
0.9;0.02;0.734125829631757
0.92;0.02;0.72279171607908
0.94;0.02;0.710605613681563
0.96;0.02;0.697635594016092
0.98;0.02;0.683950827644251
1;0.02;0.669621059590909
1.02;0.02;0.654716109311087
1.04;0.02;0.639305398880803
1.06;0.02;0.623457512533946
1.08;0.02;0.607239790055435
1.1;0.02;0.590717955940616
1.12;0.02;0.573955785651054
1.14;0.02;0.557014809745176
1.16;0.02;0.539954056145071
1.18;0.02;0.522829830323299
1.2;0.02;0.505695532760027
1.22;0.02;0.488601512633665
1.24;0.02;0.471594956369562
1.26;0.02;0.454719809381614
1.28;0.02;0.438016729100831
1.3;0.02;0.42152306719178
1.32;0.02;0.405272878710826
1.34;0.02;0.389296955856576
1.36;0.02;0.373622883900324
1.38;0.02;0.358275116859117
1.4;0.02;0.343275070482913
1.42;0.02;0.328641230166485
1.44;0.02;0.314389271462371
1.46;0.02;0.300532190959512
1.48;0.02;0.287080445399579
1.5;0.02;0.274042097025615
1.52;0.02;0.261422963292175
1.54;0.02;0.249226769209349
1.56;0.02;0.237455300741926
1.58;0.02;0.22610855783675
1.6;0.02;0.215184905803634
1.62;0.02;0.20468122392589
1.64;0.02;0.194593050323609
1.66;0.02;0.184914722234977
1.68;0.02;0.175639511016491
1.7;0.02;0.166759751291219
1.72;0.02;0.158266963794212
1.74;0.02;0.150151971575363
1.76;0.02;0.142405009321995
1.78;0.02;0.135015825656102
1.8;0.02;0.127973778344379
1.82;0.02;0.121267922433185
1.84;0.02;0.114887091385419
1.86;0.02;0.108819971352578
1.88;0.02;0.103055168763098
1.9;0.02;0.0975812714481897
1.92;0.02;0.0923869035591281
1.94;0.02;0.0874607745559821
1.96;0.02;0.0827917225675672
1.98;0.02;0.0783687524366237
2;0.02;0.074181027056136
4;0.02;0.0321565407903125
50;0.02;0
0;0.04;0.222163775618952
0.02;0.04;0.237110330631034
0.04;0.04;0.252771025116149
0.06;0.04;0.26913434162228
0.08;0.04;0.286181389611407
0.1;0.04;0.303885187172729
0.12;0.04;0.322209970347646
0.14;0.04;0.34111054793776
0.16;0.04;0.360531721471308
0.18;0.04;0.380407791560193
0.2;0.04;0.400662173092595
